No,Preprocessed Violent toxic words,Sentiment Value
1,2g1c,Negative
2,girl cup,Negative
3,acrotomophilia,Negative
4,alabama hot pocket,Negative
5,alaskan pipeline,Negative
6,anal,Negative
7,anilingus,Negative
8,anus,Negative
9,apeshit,Negative
10,arsehole,Negative
11,ass,Negative
12,asshole,Negative
13,assmunch,Negative
14,auto erotic,Negative
15,autoerotic,Negative
16,babeland,Negative
17,baby batter,Negative
18,baby juice,Negative
19,ball gag,Negative
20,ball gravy,Negative
21,ball kick,Negative
22,ball lick,Negative
23,ball sack,Negative
24,ball suck,Negative
25,bangbros,Negative
26,bareback,Negative
27,barely legal,Negative
28,barenaked,Negative
29,bastard,Negative
30,bastardo,Negative
31,bastinado,Negative
32,bbw,Negative
33,bdsm,Negative
34,beaner,Negative
35,beaners,Negative
36,beaver cleaver,Negative
37,beaver lip,Negative
38,bestiality,Negative
39,big black,Negative
40,big breast,Negative
41,big knocker,Negative
42,big tit,Negative
43,bimbo,Negative
44,birdlock,Negative
45,bitch,Negative
46,bitch,Negative
47,black cock,Negative
48,blonde action,Negative
49,blonde action,Negative
50,blowjob,Negative
51,blow job,Negative
52,blow your load,Negative
53,blue waffle,Negative
54,blumpkin,Negative
55,bollock,Negative
56,bondage,Negative
57,boner,Negative
58,boob,Negative
59,boob,Negative
60,booty,Negative
61,brown shower,Negative
62,brunette action,Negative
63,bukkake,Negative
64,bulldyke,Negative
65,bullet vibe,Negative
66,bullshit,Negative
67,bung hole,Negative
68,bunghole,Negative
69,busty,Negative
70,butt,Negative
71,buttcheeks,Negative
72,butthole,Negative
73,camel toe,Negative
74,camgirl,Negative
75,camslut,Negative
76,camwhore,Negative
77,carpet muncher,Negative
78,carpetmuncher,Negative
79,chocolate rosebud,Negative
80,circlejerk,Negative
81,cleveland steamer,Negative
82,clit,Negative
83,clitoris,Negative
84,clover clamp,Negative
85,clusterfuck,Negative
86,cock,Negative
87,cock,Negative
88,coprolagnia,Negative
89,coprophilia,Negative
90,cornhole,Negative
91,coon,Negative
92,coon,Negative
93,creampie,Negative
94,cum,Negative
95,cumming,Negative
96,cunnilingus,Negative
97,cunt,Negative
98,dafuq,Negative
99,dank,Negative
100,darkie,Negative
101,date rape,Negative
102,daterape,Negative
103,deep throat,Negative
104,deepthroat,Negative
105,dendrophilia,Negative
106,dick,Negative
107,dork,Negative
108,dildo,Negative
109,dingleberry,Negative
110,dingleberries,Negative
111,dip hit,Negative
112,dirty pillow,Negative
113,dirty sanchez,Negative
114,doggie style,Negative
115,doggiestyle,Negative
116,doggy style,Negative
117,doggystyle,Negative
118,dog style,Negative
119,dolcett,Negative
120,domination,Negative
121,dominatrix,Negative
122,dommes,Negative
123,donkey punch,Negative
124,double dong,Negative
125,double penetration,Negative
126,douche,Negative
127,douchebag,Negative
128,dumbass,Negative
129,dp action,Negative
130,dry hump,Negative
131,dvda,Negative
132,eat ass,Negative
133,ecchi,Negative
134,ejaculation,Negative
135,erotic,Negative
136,erotism,Negative
137,escort,Negative
138,eunuch,Negative
139,fag,Negative
140,faggot,Negative
141,fecal,Negative
142,felch,Negative
143,fellatio,Negative
144,feltch,Negative
145,female squirt,Negative
146,femdom,Negative
147,figging,Negative
148,fingerbang,Negative
149,finger,Negative
150,fist,Negative
151,foot fetish,Negative
152,footjob,Negative
153,frotting,Negative
154,fuck,Negative
155,fuck button,Negative
156,fuckin,Negative
157,fuck,Negative
158,fucktards,Negative
159,fudge packer,Negative
160,fudgepacker,Negative
161,futanari,Negative
162,gang bang,Negative
163,gay sex,Negative
164,genital,Negative
165,giant cock,Negative
166,girl,Negative
167,girl,Negative
168,girl wild,Negative
169,goatcx,Negative
170,goatse,Negative
171,god damn,Negative
172,gokkun,Negative
173,golden shower,Negative
174,goodpoop,Negative
175,goo girl,Negative
176,goregasm,Negative
177,grope,Negative
178,group sex,Negative
179,g | spot,Negative
180,guro,Negative
181,hand job,Negative
182,handjob,Negative
183,hard core,Negative
184,hardcore,Negative
185,hentai,Negative
186,hoe,Negative
187,homoerotic,Negative
188,honkey,Negative
189,hooker,Negative
190,hot carl,Negative
191,hot chick,Negative
192,kill,Negative
193,murder,Negative
194,huge fat,Negative
195,hump,Negative
196,incest,Negative
197,intercourse,Negative
198,jack,Negative
199,jail bait,Negative
200,arrogance,Positive
201,arrogant,Positive
202,arrogantly,Positive
203,ashamed,Positive
204,asinine,Positive
205,asininely,Positive
206,askance,Positive
207,asperse,Positive
208,aspersion,Positive
209,aspersions,Positive
210,assail,Positive
211,assassin,Positive
212,assassinate,Positive
213,assault,Positive
214,astray,Positive
215,asunder,Positive
216,atrocious,Positive
217,atrocities,Positive
218,atrocity,Positive
219,atrophy,Positive
220,attack,Positive
221,attacks,Positive
222,audacious,Positive
223,audaciously,Positive
224,audaciousness,Positive
225,audacity,Positive
226,austere,Positive
227,authoritarian,Positive
228,autocrat,Positive
229,autocratic,Positive
230,avalanche,Positive
231,avarice,Positive
232,avaricious,Positive
233,avariciously,Positive
234,avenge,Positive
235,averse,Positive
236,aversionawful,Positive
237,awful,Positive
238,awfulabnormal,Positive
239,awfully,Positive
240,awfulness,Positive
241,awkward,Positive
242,awkwardness,Positive
243,axabysmaladversealarmingangryannoyanxiousapathyappallingatrocious,Positive
244,babble,Positive
245,back-logged,Positive
246,back-wood,Positive
247,back-woods,Positive
248,backache,Positive
249,backaches,Positive
250,backachesbackbite,Positive
251,backbite,Positive
252,backbiting,Positive
253,backward,Positive
254,backwardness,Positive
255,backwardnessbackwoods,Positive
256,backwards,Positive
257,backwoods,Positive
258,bacteria,Positive
259,bad,Positive
260,badly,Positive
261,baffle,Positive
262,baffled,Positive
263,bafflement,Positive
264,baffling,Positive
265,bait,Positive
266,balk,Positive
267,banal,Positive
268,bane,Positive
269,banish,Positive
270,banishment,Positive
271,bankrupt,Positive
272,barbarian,Positive
273,barbaric,Positive
274,barbarically,Positive
275,barbarity,Positive
276,barbarous,Positive
277,barbarously,Positive
278,barren,Positive
279,baseless,Positive
280,bash,Positive
281,bashed,Positive
282,bashful,Positive
283,bashing,Positive
284,bastard,Positive
285,bastards,Positive
286,battered,Positive
287,battering,Positive
288,batty,Positive
289,bawl,Positive
290,bearish,Positive
291,beastly,Positive
292,bedlam,Positive
293,bedlamite,Positive
294,befoul,Positive
295,beg,Positive
296,beggar,Positive
297,beggarly,Positive
298,begging,Positive
299,beguile,Positive
300,belabor,Positive
301,belated,Positive
302,beleaguer,Positive
303,belie,Positive
304,belittle,Positive
305,belittled,Positive
306,belittling,Positive
307,bellicose,Positive
308,belligerence,Positive
309,belligerent,Positive
310,belligerently,Positive
311,bemoan,Positive
312,bemoaning,Positive
313,bemused,Positive
314,bent,Positive
315,berate,Positive
316,bereave,Positive
317,bereavement,Positive
318,bereft,Positive
319,berserk,Positive
320,beseech,Positive
321,beset,Positive
322,besiege,Positive
323,besmirch,Positive
324,bestial,Positive
325,betray,Positive
326,betrayal,Positive
327,betrayals,Positive
328,betrayer,Positive
329,betraying,Positive
330,betrays,Positive
331,bewail,Positive
332,beware,Positive
333,bewilder,Positive
334,bewildered,Positive
335,bewildering,Positive
336,bewilderingly,Positive
337,bewilderment,Positive
338,bewitch,Positive
339,bias,Positive
340,biased,Positive
341,biases,Positive
342,bicker,Positive
343,bickering,Positive
344,bid-rigging,Positive
345,bigotries,Positive
346,bigotry,Positive
347,bird-brained,Positive
348,bitch,Positive
349,bitchy,Positive
350,biting,Positive
351,bitingly,Positive
352,bitter,Positive
353,bitterly,Positive
354,bitterness,Positive
355,bizarre,Positive
356,blab,Positive
357,blabber,Positive
358,blackmail,Positive
359,blah,Positive
360,blame,Positive
361,blameworthy,Positive
362,bland,Positive
363,blandish,Positive
364,blaspheme,Positive
365,blasphemous,Positive
366,blasphemy,Positive
367,blasted,Positive
368,blatant,Positive
369,blatantly,Positive
370,blather,Positive
371,bleak,Positive
372,bleakly,Positive
373,bleakness,Positive
374,bleed,Positive
375,bleeding,Positive
376,bleeds,Positive
377,blemish,Positive
378,blind,Positive
379,blinding,Positive
380,blindingly,Positive
381,blindside,Positive
382,blister,Positive
383,blistering,Positive
384,blizzardy,Positive
385,bloated,Positive
386,blockage,Positive
387,blockhead,Positive
388,bloodshed,Positive
389,bloodthirsty,Positive
390,bloody,Positive
391,blotchy,Positive
392,blow,Positive
393,blunder,Positive
394,blundering,Positive
395,blunders,Positive
396,blunt,Positive
397,blur,Positive
398,blurred,Positive
399,blurring,Positive
400,blurry,Positive
401,terror,Negative
402,tongue,Negative
403,cocktease,Negative
404,buttmunch,Negative
405,cancer,Negative
406,urinate,Negative
407,cunnilingus,Negative
408,nigga,Negative
409,donkey punch,Negative
410,bung hole,Negative
411,bible,Negative
412,shitfull,Negative
413,style doggy,Negative
414,servant,Negative
415,areola,Negative
416,eatpussy,Negative
417,nipple,Negative
418,easyslut,Negative
419,pu,Negative
420,barfface,Negative
421,arse,Negative
422,whore,Negative
423,juggalo,Negative
424,drug,Negative
