text,label
pakistan ka ghra tauq he Pakistan Israel ko tasleem nahein kerta Isko Palestine kehta he   OCCUPIED PALESTINE,negative
Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the   ,negative
Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil   ,positive
  Krishna Jcb full trend me chal rahi aa,positive
   Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m   ,positive
Bhosdike tum pechvade ki tatti hi rahoge bc,negative
Love u Bhaijan       Father   son      Bharat   IAmBharat   BharatThisEid BEST Pic From Entire   Promotions     Mashallah   ,positive
Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai   Har koi tumhari tarh   ,negative
  nolo Weni ankere o gae this weekend      ,positive
  AIMIM  Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus   ,negative
  omer      MuhammadPTI Pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak   ,negative
Ye sale is desh ke kabhi sage nahin ho sakte Ye gaddar hain Inke sath kadi se kadi kanun   ,negative
saf baby    i   m sorry i wasn   t online i hope you   re sleeping well though i love you,positive
Real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain     i m sad for no reason solmon    ,negative
Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho   Pakistan   ,negative
Kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel,negative
Abe mc    nhi malum to ammi mat chuda bsdk    grahm stains ko dara singh ne mara tha adivasiy   ,negative
  Well chara Chor ke chele this news is a year old    ,negative
Twitter k baghair apna roza mumkin nahi hota   Apna chutiyaap dusron per thopna band karo Bhai   ,positive
Oh haha the soldier is reading American Gods hardy har har thanks for reminding everyone of your OTHER clusterfuck,negative
Mp me govt kamalnath ki h     Wese ek or video viral h jisme aapke shantidut bhai ek dukandar   ,negative
Dev da tmr new movie song Ami tmk valobasi I really loved    a lot      ,neutral
Abe BC kya le jayenge yeh toh batah abhi     PAKvWI Babaji Ka Thullu   ,positive
I hope I see my baby this weekend but highly doubt it   ugh,neutral
Teri ma ka sakinaka tujhe Bhadi chinta ho rahi aaj ab      se pehle bhadve log bethe the tab tu dudh   ,negative
Isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh   ,neutral
Jai Shri Ram Jai Shri Krishna Jai Bajrang Bali Jai Bholenath     Hum log Bolne lage to rukenge nahi   ,negative
  rao  Hindi tumhari bass ki nahi   Nahi seekh paoge   Darte ho kahin Hindi me marks hi nahi   ,negative
