0,labels
pakistan kaa gheraa taut he Pakistan Israeli ko tablet in nah karta use inelastic eta he OCCUPIED PALESTINE ,negative
Madarchod mule mathura me nah dekha tha jab mill nae Hindu ko us liya mara kii do lassie kii paise mag liya tha yr ,negative
man piranha mantra mahoday Ahriman Narendra midi ji Pradhanmantri vane par hardily hairband he ti ,positive
Krishna ab me chaal raho aa full tend ,positive
Loksabha me sirf mudi ko de raho tha na kii kisi M or BJP ko myth Cantu vote without ,positive
Bhosdike toum pervade kii tattu hui rag bec ,negative
Love Bhaijan father Bharat IAmBharat BharatThisEid BEST pix fro entire promotion Mashallah O Sun ,positive
Tumhara pasus sh deemagh hai nahi idle google ko apni deemagh banana hua hai Ar kui tumhaari tat ,negative
Weni ranker o gau weaken nole thus ,positive
AIMIM lag raho mill he tum isse Duran faad gyaan kii kayak hain duniya Ella bhi shun ,negative
MuhammadPTI Pakhtoon kr haqooq kii jang nahi panda kr haqooq kii hunk paak comer ,negative
aw saale desh ke kabhi nahin ho aw hain Inke saath kaidi se kaidi kanon us safe satin gadder ,negative
saaf baby e myth e trns e you re e you sorry was unline hope sleeping well though Love ,positive
teal kr log chor diya hain meni jo snakes intern kr chorne hain e myth said salmon lie already the ab for neo reason ,negative
Mohsin DawarTweets dadaism Ar kuch kaha maar jau Bayghayrat insanTum Ar Ali hazing maharani ho Pakistan heir ,negative
such media channel dekh raho hai kii ilk upar kaai prakaar ke hai un typo media channel criminal cases shame thus if ,negative
ye nahi to ammi mat chudo bed graham ko daara singh nae mara tha diastase m alum stain ,negative
hell chaara cor ke chele news a old thus is tear ,negative
twitter kr beggar apni roze mumkin nahi hota Anna chutiyaap dusron par pa tho band karo Thai ,positive
sh tha American Gods har har thanks remanding OTHER clusterfuck aha soldier is reading hardy for everyone if tour ,negative
mo me hot kamalnath kii hyth wee ek or bide viral hyth brisket apse antidote bhai ek quandary ,negative
deb dua tumor new moves Ami t valobasi A a lut song really lived ,neutral
ye B kiya le yang yah Th natch abhi PAKvWI Babaji Ca Thullu ,positive
A I sie may baby weaken but iot Hope this highly doubt ugh ,neutral
Teri maa kaa sakinaka touche Shari chintaa ho raho aaj se pehle base log tha tab tau dud av bath ,negative
