text,label
Pakistan is a circle of Pakistan,negative
Murdhod Mulle did not see this in Mathura when Mulo took the Hindu ISS,negative
Accepted Prime Minister,positive
Krishna jab filled trend,positive
"In the Lok Sabha, the animal was only voting for Mudi and not any mp or BJP",positive
Bhosdike Tom Pachwade Ki Tattu,negative
Pyaar o,positive
Your pus is ABH Dimagh is not Isia to Google,negative
Nol Venie Akre O,positive
Aimem lag raho mul tumre tear tear tear tear,negative
Omar Muhammapti Pakhtun's fight is not a battle,negative
These brother,negative
"Clear baby e fledgling story did not give a trains, un -hope tum re sleeping well, although love you",positive
"Real life people have thieves thieves, already snakes, now they have to internet",negative
Look at Mohsin Dawartweits and said something,negative
"Some media channels are watching that there are many types of criminal cases on them, they are ashamed of this typo",negative
"Abe I do not know that I do not know the bangle, the staine is afraid",negative
Cuan fodder thief disciples this news s,negative
Your fasting is not possible without Twitter,positive
Oh haha was solder S to read American God for every thank you,negative
The government is in the map of Kamal Nath like one or,negative
Dev Dua Tamer Naya Movie Song Ami Tamak,neutral
Abe bck,positive
E hope e,neutral
"Your mother, Sakinaka, be worried about you.",negative
This is what you have done by Akhilesh's way,neutral
Jai Shri hitting Jai,negative
"Rai Hindi will not be able to learn your boys, you will be afraid",negative
Humat tau khota khor corrupt ganji also,negative
Io on,positive
Ch Pakaja Language: Use of Hindi Tau Kui Nuni brothers asks Yuthi,neutral
Cair tried to protect WuS News not Gulwish,neutral
Murali Nune Decaying Well Boycott World Cup Tail Nesamani,neutral
Ahmed Lulli does not stand,neutral
"Ashk -e -Nadamat washed my wire to the sins, and turn",neutral
Daughter hatred is not known to be zaheel elastic failure,negative
One's May favorite very second one at declete,positive
Mansoor Ali Tera Naam Tare is telling the burning of the under,negative
Bahujan Kumbakarnas Bekose for Jai Bhima great news,neutral
Don Trans O Pyaar Jab Tha On Person OS Dead about Gavi Aa Taunt Hai,neutral
Aoraq is beyond the stories of Jehini N's zeal,positive
"You all think of the coloir of India, that Pakistan is not there but there is nothing",positive
"Rohit Bhai E AM, your big fan",positive
Mother sends the shame,negative
Dont breaks the segments of not taking Intta seriously.,negative
Dog began to bark brother,negative
"There is no rough cow in the world cup, not Larnia on Twitter",negative
"Brother, please I am a very big fan",neutral
Delete Sena Waheri Sahul proposed copy Vedika was that dialogue in fact,positive
Excellected Bhauji Tohra Kiya Hall Ba Tau Kaho,neutral
"Under the scratch, there is no need for it, later today",negative
Duskampapegengentdrubaabas Papa ji today mine,positive
All Muslims per all Muslims,positive
"Everyday Kai Bare product does not deteriorate, the choice of people will be bad",neutral
Let's wait for you how beautiful the suppression is,positive
Zeshan love,positive
"Sir, tera jit talbani jess",negative
Winning elections in the name of religion is not a big act,negative
Dhol seriously seen on Oni's Delete Best Post A Hav,positive
"May Illah Bless, all that strong faith, full heart and good courtesy",positive
"Giving a big jatka in chiller, it is made at",neutral
"O for two things Peepal O Adore, so you just want to take the level level of Iot level, IT, IOT levels, so what is the iot level",neutral
Thugs your country and walked,negative
"Now this will tell that the stars are going to be the blood mala, among them Jina Hindu Mla",neutral
Ha no li e thinking you want to buy and new couple back e -heaven,neutral
"Brother, this is a man with glasses",neutral
"Be mumta, on the samadhi of the host",neutral
Modi ji's arrival in India,neutral
Boy did ego hai tamari girl boy bay mein e,neutral
Hare Ali Batv to get a messiah to the Messiah,negative
"Mac is sister -in -law, bring it more proud",neutral
Pathan Iq is not working or from above,neutral
"Yes, even in the fodder scam, Lalu only kitchen witnesses",negative
Good morning Papa Ji Plus Blace more service Sumiran,positive
Kau Pakistani Girls without photo,neutral
Boa Kard Most Unpractical and Cold Sword,neutral
"In the magazines, it has made a butt in its naked",positive
Head Prashant Dhawan S Kohinoor's study is a teacher,positive
The final investigation is the Congress government and Law Anid Gan,neutral
"This is what you spoil our fasts, nor it used information dry grass lol ilela",neutral
The year for the country's betrayal year is very painful because thick brother,neutral
"That is why you are very smiling or too much, you do a lot of heart",positive
Good Joki your traitors,neutral
The inter -soul is given the middle until it is disrespectful,positive
Khan saheb voted for you.,neutral
"The head has become dedicated to my face, but the branch office says that I am not",neutral
Amarran you can do even the second smh for good good,neutral
"Congratulations to you, Amit Shah, hope that you too Modi",neutral
It would like the rendering of great Harsh Pratihara in boring,neutral
My food is from your eyes,neutral
Neo oneni neo on on all was going to know Virgin Nartor A KNU directly out,neutral
Bhai plz,neutral
Congratulations May Bear and very happy birthday was on many more hiets together,positive
One of your testimony proves Mannat crazy,neutral
"Just heard per day, the first jojo siva song e-aamhan aa",neutral
The whole month is due to the deception of the bando,neutral
Sc Che Chetan Adarsh Abe Chitra Tara No Criminal Practices Talk copy,negative
Kung Hand Ko Checkk Sit DM face face,neutral
"Baby, you have come to amazing work today",positive
Dil k khush krani ko ghalib care good,neutral
Illah should be like Ijat de,neutral
A good heroes per Kudos,positive
delete,neutral
Az Ja na Pakistani Pig,negative
Friendship due to such rain does not do not think of his own gear,neutral
"What was the damn, it means to keep this meaning more",negative
Hum tau tau ek aayena hatau showed you,neutral
"Happy birthday, you pray for Baba Vishwanath every prayer",neutral
Good Prabhat Peta ji thank you in the new right police balance service Sumrin,neutral
"The officer is a luxurious voice Arjun ji o pass really, it means Iot",positive
Perfect India's independent India inclusion of these delete history was secularism,neutral
Thick Ed E can confirm it.,positive
Congress's pride of Lucknow gave his bravery and valor,neutral
